schedule thread 
2018-09-06 17:15:22.914000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.781', u'speed': u'0.0000'}
2018-09-06 17:15:22.935000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.841', u'speed': u'0.0000'}
2018-09-06 17:15:22.999000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.901', u'speed': u'0.0000'}
2018-09-06 17:15:23.078000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'177.981', u'speed': u'0.0000'}
2018-09-06 17:15:23.103000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.001', u'speed': u'0.0000'}
2018-09-06 17:15:23.232000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.121', u'speed': u'0.0000'}
2018-09-06 17:15:23.257000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.141', u'speed': u'0.0000'}
2018-09-06 17:15:23.332000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.221', u'speed': u'0.0000'}
2018-09-06 17:15:23.362000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.261', u'speed': u'0.0000'}
2018-09-06 17:15:23.477000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.361', u'speed': u'0.0000'}
2018-09-06 17:15:23.496000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.401', u'speed': u'0.0000'}
2018-09-06 17:15:23.535000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.461', u'speed': u'0.0000'}
2018-09-06 17:15:23.660000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.541', u'speed': u'0.0000'}
2018-09-06 17:15:23.694000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.581', u'speed': u'0.0000'}
2018-09-06 17:15:23.773000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.681', u'speed': u'0.0000'}
2018-09-06 17:15:23.795000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.701', u'speed': u'0.0000'}
2018-09-06 17:15:23.836000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.761', u'speed': u'0.0000'}


2018-09-06 17:15:23.970000 {u'status': u'0', u'throttle': u'1.0000', u'brakes': u'0.0000', u'lap': u'1', u'steering_angle': u'1.0000', u'time': u'178.861', u'speed': u'0.0000'}
